u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
30.0,94.0,117.0,95.0,29.0,76.0,73.0,76.0,117.0,77.0,31.5,59.5,116.0,60.0
29.0,95.0,115.5,95.5,28.5,77.5,71.0,77.0,117.0,78.0,31.0,60.0,114.0,61.0
28.0,96.5,115.0,97.0,27.5,79.0,70.5,78.0,115.5,79.5,30.0,62.0,113.0,62.5
27.0,98.0,114.0,99.0,26.5,79.5,69.5,79.5,114.0,81.0,28.5,63.0,112.5,63.5
26.0,99.0,113.0,100.0,25.5,81.5,68.5,80.0,113.0,82.0,28.0,64.0,110.5,65.5
25.0,100.0,112.0,101.0,24.5,82.5,67.5,81.5,112.5,83.0,27.0,65.0,110.0,66.0
24.0,102.0,111.0,102.0,24.5,83.5,66.5,82.5,111.0,84.0,26.0,66.0,109.0,67.0
23.0,103.0,110.0,103.0,23.0,84.5,66.5,83.5,110.5,85.0,25.0,67.5,108.0,67.0
22.5,103.5,109.0,104.0,22.0,85.5,66.0,84.0,109.0,85.5,24.5,68.0,106.5,68.0
22.0,105.0,108.5,105.0,21.0,86.0,64.5,85.0,108.5,86.5,24.0,69.0,106.0,69.0
21.0,105.5,108.0,106.0,20.5,87.0,64.5,85.5,108.0,87.0,23.0,69.0,105.0,69.5
20.0,106.0,107.0,106.0,20.5,87.5,64.0,85.5,107.0,87.5,22.5,70.0,104.5,69.5
19.0,107.0,106.0,106.0,19.0,88.0,63.0,86.0,106.5,87.5,22.0,70.5,104.0,70.0
19.0,107.0,106.0,107.0,19.0,88.0,62.5,86.5,106.0,88.0,21.0,71.0,103.0,71.0
18.0,107.0,105.0,107.0,18.0,88.0,62.0,86.5,105.0,88.0,20.5,71.0,102.5,70.5
18.0,107.0,104.5,107.0,18.0,89.0,62.0,86.5,105.0,88.0,20.5,71.0,102.5,70.5
17.0,107.0,104.5,107.0,17.0,89.0,61.0,86.5,104.5,88.0,20.0,71.0,102.0,71.0
17.0,107.0,104.0,107.0,17.0,88.5,60.5,86.5,104.0,88.0,20.0,71.0,102.0,71.0
16.5,107.0,104.0,106.5,16.5,88.5,60.5,86.5,103.5,88.0,19.0,71.0,101.0,70.0
16.5,106.0,103.0,106.0,16.5,87.5,60.5,86.0,104.0,87.5,19.0,70.0,101.0,69.0
16.0,106.0,102.5,105.5,16.0,87.0,60.5,85.5,103.0,87.0,18.5,69.5,100.5,69.5
16.0,105.5,102.5,104.5,16.0,87.0,60.0,85.0,103.0,86.0,18.0,69.0,100.5,68.5
16.0,105.0,102.5,104.0,16.0,86.0,60.0,84.0,102.5,85.5,18.0,68.0,100.5,67.5
16.0,103.5,102.0,103.0,16.0,85.0,59.5,83.5,102.5,84.5,18.0,67.5,100.5,67.5
16.0,102.5,102.0,102.0,16.0,84.0,60.0,83.0,102.5,83.5,18.0,67.0,100.5,66.5
16.0,101.5,102.0,101.0,16.0,83.0,59.5,81.5,103.0,83.0,18.0,65.5,100.5,65.5
16.0,100.0,102.0,100.0,16.0,82.0,59.0,81.0,102.5,81.5,18.0,65.0,101.0,64.0
16.0,99.0,102.0,98.0,16.0,81.0,60.0,79.5,102.5,80.0,18.0,63.5,100.5,63.5
16.5,98.0,102.5,97.5,16.0,80.0,60.0,78.0,103.0,79.0,18.5,62.0,101.0,62.0
17.0,96.5,102.0,96.0,16.0,79.0,60.0,77.0,103.0,78.0,19.0,61.0,101.5,61.0
18.0,95.0,102.5,94.5,17.0,77.5,61.0,76.5,104.0,77.0,19.0,60.0,101.5,59.5
18.0,94.0,103.0,94.0,17.0,76.0,61.0,76.0,104.0,75.5,19.0,58.5,102.5,58.5
19.0,92.0,104.0,92.0,18.0,75.0,62.0,73.0,105.0,75.0,19.5,58.0,102.5,57.5
19.0,92.0,104.0,91.0,18.0,74.0,62.0,73.0,105.0,73.0,20.0,56.0,103.0,56.0
20.0,90.0,105.0,90.0,19.0,73.0,62.0,72.0,106.0,72.0,21.0,55.0,104.0,55.0
20.0,89.0,105.0,89.0,19.0,71.0,63.0,71.0,106.0,71.0,21.5,54.0,105.0,54.0
21.0,88.0,106.0,88.0,20.0,70.0,63.5,70.0,107.0,70.0,22.0,53.0,105.5,53.0
21.5,86.5,106.0,87.0,20.5,69.0,64.0,69.0,108.0,69.0,22.0,52.0,106.0,52.0
22.0,85.0,107.5,85.5,21.0,68.0,65.0,68.0,108.0,68.0,22.5,50.5,107.0,51.0
22.5,85.5,108.0,85.0,22.0,67.0,65.0,67.0,109.0,67.0,23.0,50.0,107.0,50.0
23.5,84.0,108.0,84.0,22.5,66.5,66.0,66.0,109.5,66.5,23.5,49.5,107.5,49.5
25.0,82.0,109.0,83.0,23.0,66.0,67.0,66.0,110.0,66.0,25.0,48.0,109.0,48.0
25.0,82.0,110.0,83.0,23.5,65.5,67.0,65.0,110.5,65.5,25.0,48.0,109.0,48.0
26.0,82.0,110.0,82.0,25.0,64.0,67.0,65.0,110.5,65.5,26.0,47.0,109.5,48.0
27.0,81.0,112.0,81.0,25.0,64.0,69.0,63.5,113.5,63.5,27.5,47.0,112.0,47.0
27.5,81.0,113.0,81.0,27.5,63.5,69.5,63.5,114.0,63.0,28.0,46.0,112.0,46.5
30.0,81.0,114.0,80.5,28.0,63.0,70.0,63.0,115.0,63.0,29.0,46.0,114.0,46.0
30.0,81.0,115.0,81.0,29.0,63.0,71.0,63.0,116.0,63.0,30.0,46.0,115.0,46.0
