x,y,z
7.14,3.31,23.57
8.139999,3.31,23.57
8.139999,3.31,23.57
8.139999,3.31,23.57
8.141727,3.287823,23.52556
8.1469,3.265921,23.48114
8.155491,3.244565,23.43677
8.167449,3.224026,23.39246
8.18271,3.204571,23.34823
8.201187,3.186459,23.30412
8.222778,3.169946,23.26014
8.247361,3.155279,23.21631
8.274797,3.142696,23.17266
8.304933,3.132426,23.1292
8.337597,3.124685,23.08596
8.372602,3.119678,23.04296
8.409751,3.117599,23.00023
8.44883,3.118625,22.95777
8.489612,3.122918,22.91561
8.53186,3.130627,22.87378
8.575331,3.141882,22.83229
8.619764,3.156797,22.79116
8.664898,3.175469,22.75042
8.710462,3.197975,22.71009
8.756179,3.224374,22.67018
8.801769,3.254707,22.63071
8.846949,3.288995,22.59171
8.891434,3.32724,22.55319
8.934938,3.369423,22.51517
8.977179,3.415508,22.47767
9.017873,3.465437,22.44071
9.056743,3.519136,22.40432
9.093514,3.576509,22.36849
9.127921,3.637442,22.33326
9.159703,3.701805,22.29864
9.188608,3.769447,22.26465
9.214396,3.840203,22.2313
9.236835,3.91389,22.19861
9.255707,3.99031,22.1666
9.270807,4.069249,22.13529
9.281942,4.150481,22.10468
9.288938,4.233765,22.07479
9.29163,4.31885,22.04565
9.289877,4.405471,22.01726
9.283549,4.493358,21.98963
9.272539,4.582229,21.96278
9.256756,4.671793,21.93673
9.236126,4.761758,21.91148
9.210597,4.851822,21.88706
9.180137,4.941682,21.86346
9.144731,5.031032,21.84071
9.104385,5.119565,21.81881
9.059129,5.206974,21.79778
9.009006,5.292953,21.77761
8.954083,5.3772,21.75834
8.894447,5.459417,21.73996
8.830202,5.539312,21.72248
8.761474,5.616599,21.70592
8.688403,5.690999,21.69028
8.61115,5.762243,21.67556
8.529893,5.830074,21.66178
8.444827,5.894244,21.64895
8.35616,5.954519,21.63706
8.264118,6.010678,21.62612
8.168941,6.062515,21.61615
8.070877,6.109839,21.60714
7.970194,6.152475,21.5991
7.867166,6.190266,21.59203
7.762075,6.223071,21.58594
7.655216,6.250769,21.58083
7.546889,6.273257,21.5767
7.437399,6.290451,21.57356
7.32706,6.302288,21.5714
7.216186,6.308722,21.57023
7.105094,6.309732,21.57005
6.994102,6.305312,21.57085
6.883527,6.295479,21.57264
6.773685,6.280269,21.57542
6.66489,6.25974,21.57918
6.55745,6.233967,21.58393
6.451667,6.203047,21.58965
6.347838,6.167094,21.59636
6.246251,6.126242,21.60404
6.147183,6.080641,21.61269
6.050902,6.030459,21.6223
5.957666,5.975883,21.63288
5.867718,5.917113,21.64442
5.781289,5.854363,21.6569
5.698593,5.787865,21.67033
5.61983,5.71786,21.6847
5.545185,5.644602,21.7
5.474825,5.568357,21.71622
5.408897,5.489398,21.73336
5.347535,5.40801,21.75141
5.29085,5.324482,21.77035
5.238935,5.239111,21.79018
5.191863,5.152199,21.81089
5.149689,5.064048,21.83247
5.112445,4.974966,21.85491
5.080147,4.88526,21.87819
5.052788,4.795236,21.90231
5.030343,4.705199,21.92725
