x,y,z
7.14,3.31,23.57
5.009474,3.31,23.57
5.009474,3.31,23.57
5.009474,3.31,23.57
5.121644,3.242697,23.43539
5.270519,3.185183,23.32037
5.454106,3.140846,23.23169
5.669602,3.112777,23.17555
5.913463,3.103663,23.15733
6.181478,3.115698,23.1814
6.468874,3.150499,23.251
6.770425,3.209042,23.36808
7.080579,3.291619,23.53324
7.393589,3.397806,23.74561
7.703652,3.526461,24.00292
8.00505,3.675737,24.30147
8.29228,3.843116,24.63623
8.560191,4.025464,25.00093
8.804103,4.219103,25.38821
9.019914,4.419908,25.78981
9.204192,4.623396,26.19679
9.354256,4.824854,26.59971
9.468225,5.019458,26.98892
9.545053,5.202398,27.3548
9.584545,5.369012,27.68802
9.587348,5.51491,27.97982
9.554915,5.636099,28.2222
9.489454,5.729089,28.40818
9.393863,5.791003,28.53201
9.271632,5.819656,28.58931
9.126753,5.813623,28.57725
8.963591,5.77229,28.49458
8.786774,5.69588,28.34176
8.601056,5.58546,28.12092
8.411192,5.442922,27.83584
8.221811,5.270952,27.4919
8.03729,5.072959,27.09592
7.861642,4.853009,26.65602
7.698418,4.615724,26.18145
7.550616,4.366168,25.68233
7.420612,4.109728,25.16946
7.31011,3.851982,24.65396
7.220109,3.598562,24.14712
7.150894,3.355011,23.66002
7.102044,3.126647,23.20329
7.072464,2.918437,22.78687
7.060438,2.734862,22.41973
7.06369,2.579819,22.10964
7.079475,2.456513,21.86303
7.104671,2.367389,21.68478
7.135887,2.314067,21.57813
7.169583,2.297304,21.54461
7.202181,2.316985,21.58397
7.230191,2.372123,21.69425
7.250322,2.460892,21.87178
7.259597,2.580679,22.11136
7.255447,2.728151,22.4063
7.235806,2.899347,22.7487
7.199181,3.089785,23.12957
7.144702,3.294574,23.53915
7.072171,3.508543,23.96708
6.982067,3.726378,24.40276
6.875549,3.942757,24.83551
6.754433,4.152479,25.25496
6.621139,4.350609,25.65122
6.478642,4.53258,26.01516
6.33038,4.694325,26.33865
6.180166,4.832363,26.61473
6.03208,4.943879,26.83776
5.890353,5.026793,27.00359
5.759244,5.079795,27.10959
5.642917,5.102369,27.15474
5.545318,5.094789,27.13958
5.470055,5.058098,27.0662
5.420285,4.994068,26.93814
5.398619,4.90513,26.76026
5.40703,4.7943,26.5386
5.446786,4.665084,26.28017
5.518404,4.521368,25.99274
5.621605,4.367305,25.68461
5.75532,4.20719,25.36438
5.917691,4.045337,25.04067
6.106109,3.885955,24.72191
6.317264,3.733033,24.41607
6.547223,3.590222,24.13044
6.791516,3.460741,23.87148
7.04524,3.347292,23.64458
7.303185,3.251983,23.45397
7.559954,3.176283,23.30256
7.810102,3.120985,23.19197
8.048264,3.086199,23.1224
8.269299,3.071353,23.0927
8.468411,3.075227,23.10045
8.641277,3.095999,23.142
8.784151,3.131307,23.21261
8.893965,3.178336,23.30667
8.968403,3.233908,23.41782
9.005962,3.294588,23.53918
9.005991,3.356798,23.6636
8.968702,3.416932,23.78386
8.895172,3.471474,23.89295
8.787311,3.517117,23.98423
8.64781,3.550866,24.05173
