u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
6.5,13.5,34.5,13.5,4.5,28.0,20.5,28.0,36.5,28.0,NaN,NaN,NaN,NaN
6.5,13.5,34.5,13.5,4.5,28.0,20.5,28.0,36.5,28.0,NaN,NaN,NaN,NaN
6.5,13.5,34.5,13.5,4.5,28.0,20.5,28.0,36.5,28.0,NaN,NaN,NaN,NaN
6.5,13.5,34.5,13.5,4.5,28.0,20.5,28.0,36.5,28.0,NaN,NaN,NaN,NaN
6.5,13.5,34.5,13.5,4.5,28.0,20.5,28.0,36.5,28.0,NaN,NaN,NaN,NaN
7.0,13.0,34.5,13.5,4.5,28.0,20.5,27.5,36.5,28.0,NaN,NaN,NaN,NaN
7.0,13.0,35.0,13.0,4.5,28.0,20.5,27.5,37.0,28.0,NaN,NaN,NaN,NaN
7.0,14.0,35.0,13.0,4.5,28.0,20.5,27.5,37.0,28.0,NaN,NaN,NaN,NaN
7.0,14.0,34.5,13.5,5.0,28.0,20.5,27.5,37.0,28.0,NaN,NaN,NaN,NaN
6.0,13.0,34.0,13.0,5.0,28.0,20.5,27.5,37.0,28.0,NaN,NaN,NaN,NaN
6.0,13.0,34.0,13.0,5.0,28.0,20.5,27.5,37.0,28.0,NaN,NaN,NaN,NaN
6.0,13.0,34.0,13.0,5.0,28.0,20.5,27.5,36.5,28.0,NaN,NaN,NaN,NaN
6.0,13.0,34.0,13.0,5.0,28.0,20.5,27.5,36.5,28.0,NaN,NaN,NaN,NaN
6.0,13.0,34.0,13.0,5.0,28.0,20.5,27.5,36.5,28.0,NaN,NaN,NaN,NaN
6.0,13.0,34.0,13.0,5.0,28.0,20.5,27.5,36.5,28.0,NaN,NaN,NaN,NaN
6.0,11.5,34.0,13.0,5.0,28.0,20.5,27.5,36.5,28.0,NaN,NaN,NaN,NaN
6.0,11.5,34.0,13.0,5.0,28.0,20.5,27.0,36.5,28.0,NaN,NaN,NaN,NaN
6.0,11.5,34.0,13.0,NaN,NaN,20.5,27.0,36.5,28.0,NaN,NaN,NaN,NaN
6.0,12.0,34.0,13.0,NaN,NaN,20.5,27.0,36.5,28.0,NaN,NaN,NaN,NaN
6.0,11.5,34.0,13.0,NaN,NaN,20.0,26.0,36.5,28.0,NaN,NaN,NaN,NaN
6.0,11.5,34.0,13.0,4.0,26.0,20.0,26.0,36.5,28.0,NaN,NaN,NaN,NaN
6.0,11.5,33.0,11.5,4.0,26.0,20.0,26.0,36.5,28.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,12.0,4.0,26.0,20.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,12.0,5.0,26.0,20.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,12.0,5.0,26.0,20.5,25.5,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,12.0,5.0,26.0,20.5,25.5,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,12.0,5.0,25.0,20.5,25.5,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,12.0,5.0,25.0,20.5,25.5,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,10.5,5.0,25.0,21.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,10.5,5.0,25.0,21.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,10.5,5.0,25.0,21.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,10.5,5.0,25.0,21.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,10.5,5.0,25.0,21.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
6.0,11.0,34.0,10.5,5.0,25.0,21.0,26.0,37.0,27.0,NaN,NaN,NaN,NaN
5.5,9.5,34.5,9.5,NaN,NaN,19.5,23.0,35.0,24.0,0.0,39.0,NaN,NaN
5.5,9.5,34.5,9.5,5.0,23.0,19.5,23.0,35.0,24.0,0.0,39.0,NaN,NaN
