x,y,z
7.14,3.07,15
10.14,3.07,15
10.14,3.07,15
10.14,3.07,15
10.13833,3.169981,15.09998
10.13334,3.269852,15.19985
10.12501,3.3695,15.2995
10.11337,3.468816,15.39882
10.09843,3.567688,15.49769
10.0802,3.666008,15.59601
10.0587,3.763665,15.69367
10.03396,3.860552,15.79055
10.00601,3.956561,15.88656
9.974871,4.051584,15.98158
9.940582,4.145517,16.07552
9.903183,4.238255,16.16825
9.862713,4.329695,16.2597
9.819219,4.419736,16.34974
9.772747,4.508276,16.43828
9.723351,4.59522,16.52522
9.671085,4.680469,16.61047
9.616007,4.763927,16.69393
9.558177,4.845505,16.77551
9.497662,4.925109,16.85511
9.434526,5.002653,16.93265
9.368842,5.07805,17.00805
9.300681,5.151215,17.08121
9.23012,5.222068,17.15207
9.157236,5.290531,17.22053
9.082112,5.356526,17.28653
9.004829,5.419981,17.34998
8.925476,5.480825,17.41083
8.844138,5.53899,17.46899
8.760906,5.594413,17.52441
8.675875,5.647031,17.57703
8.589136,5.696786,17.62679
8.500788,5.743622,17.67362
8.410928,5.787488,17.71749
8.319655,5.828335,17.75834
8.227073,5.866117,17.79612
8.133283,5.900793,17.83079
8.038388,5.932324,17.86232
7.942496,5.960674,17.89067
7.845713,5.985814,17.91581
7.748145,6.007713,17.93771
7.649901,6.026349,17.95635
7.551091,6.0417,17.9717
7.451825,6.05375,17.98375
7.352211,6.062485,17.99249
7.252362,6.067895,17.99789
7.152389,6.069974,17.99998
7.052401,6.068721,17.99872
6.952511,6.064136,17.99413
6.852829,6.056224,17.98622
6.753466,6.044994,17.97499
6.654532,6.03046,17.96046
6.556139,6.012636,17.94264
6.458394,5.991543,17.92154
6.361405,5.967204,17.8972
6.265282,5.939646,17.86965
6.170131,5.9089,17.8389
6.076057,5.875,17.805
5.983165,5.837984,17.76798
5.891559,5.797892,17.72789
5.801339,5.754769,17.68477
5.712607,5.708664,17.63866
5.625461,5.659628,17.58963
5.539998,5.607714,17.53771
5.456312,5.552981,17.48298
5.374496,5.495489,17.42549
5.294642,5.435303,17.3653
5.216838,5.372488,17.30249
5.141171,5.307115,17.23712
5.067725,5.239257,17.16926
4.996581,5.168989,17.09899
4.927818,5.096389,17.02639
4.861514,5.021538,16.95154
4.79774,4.944519,16.87452
4.736568,4.865416,16.79542
4.678068,4.784319,16.71432
4.622302,4.701317,16.63132
4.569334,4.616504,16.5465
4.519221,4.529972,16.45997
4.47202,4.441818,16.37182
4.427783,4.352139,16.28214
4.38656,4.261036,16.19104
4.348395,4.16861,16.09861
4.313333,4.074964,16.00496
4.28141,3.980201,15.9102
4.252664,3.884427,15.81443
4.227125,3.787748,15.71775
4.204823,3.690271,15.62027
4.185781,3.592105,15.52211
4.170022,3.493359,15.42336
4.157563,3.394143,15.32414
4.148417,3.294567,15.22457
4.142594,3.194741,15.12474
4.140102,3.094777,15.02478
4.140943,2.994786,14.92479
4.145115,2.894877,14.82488
4.152616,2.795163,14.72516
4.163435,2.695755,14.62576
4.177561,2.596762,14.52676
4.194978,2.498296,14.4283
4.215667,2.400464,14.33046
4.239605,2.303376,14.23338
4.266766,2.20714,14.13714
4.297119,2.111862,14.04186
4.33063,2.01765,13.94765
4.367262,1.924606,13.85461
4.406976,1.832835,13.76283
4.449725,1.742438,13.67244
4.495463,1.653517,13.58352
4.544139,1.566169,13.49617
4.5957,1.480491,13.41049
4.650087,1.39658,13.32658
4.707241,1.314528,13.24453
4.767097,1.234426,13.16443
4.82959,1.156363,13.08636
4.894649,1.080427,13.01043
4.962203,1.006701,12.9367
5.032177,0.9352672,12.86527
5.104493,0.8662055,12.79621
5.179069,0.7995924,12.72959
5.255826,0.7355005,12.6655
5.334674,0.6740034,12.604
5.415529,0.6151679,12.54517
5.4983,0.55906,12.48906
5.582894,0.5057416,12.43574
5.669218,0.4552723,12.38527
5.757176,0.4077078,12.33771
5.846671,0.3631012,12.2931
5.937603,0.3215019,12.2515
6.029871,0.2829562,12.21296
6.123371,0.2475071,12.17751
6.218001,0.2151936,12.14519
6.313656,0.186052,12.11605
6.410229,0.1601143,12.09011
6.507612,0.1374096,12.06741
6.6057,0.1179627,12.04796
6.70438,0.1017959,12.0318
6.803544,0.08892685,12.01893
6.903081,0.0793696,12.00937
7.002882,0.07313508,12.00313
7.102835,0.07023007,12.00023
7.202829,0.07065797,12.00066
7.302753,0.07441807,12.00442
7.402497,0.08150607,12.01151
7.501949,0.09191447,12.02191
7.600999,0.1056316,12.03563
7.699537,0.1226422,12.05264
7.797453,0.1429272,12.07293
7.894639,0.1664641,12.09646
7.990988,0.1932276,12.12323
8.08639,0.2231866,12.15319
8.18074,0.2563085,12.18631
8.273934,0.2925564,12.22256
8.365869,0.3318899,12.26189
8.456441,0.3742656,12.30427
8.54555,0.4196364,12.34964
8.633099,0.4679516,12.39795
8.718988,0.5191578,12.44916
8.803123,0.5731979,12.5032
8.88541,0.6300121,12.56001
8.965759,0.6895369,12.61954
9.044079,0.7517066,12.68171
9.120283,0.8164519,12.74645
9.194288,0.8837019,12.8137
9.26601,0.9533799,12.88338
9.33537,1.02541,12.95541
9.40229,1.099711,13.02971
9.466698,1.176201,13.1062
9.528521,1.254795,13.1848
9.587689,1.335406,13.26541
9.644138,1.417944,13.34794
9.697805,1.502317,13.43232
9.748631,1.588433,13.51843
9.796558,1.676194,13.60619
9.841535,1.765504,13.6955
9.883509,1.856263,13.78626
9.922436,1.94837,13.87837
9.958271,2.041725,13.97173
9.990974,2.136221,14.06622
10.02051,2.231755,14.16175
10.04685,2.32822,14.25822
10.06995,2.425508,14.35551
10.08981,2.523514,14.45351
10.10638,2.622126,14.55213
10.11966,2.721235,14.65124
10.12963,2.820733,14.75073
10.13627,2.920507,14.85051
10.13959,3.020447,14.95045
10.13958,3.120442,15.05044
10.13623,3.220381,15.15038
10.12955,3.320153,15.25015
10.11955,3.419649,15.34965
10.10625,3.518755,15.44876
10.08964,3.617362,15.54736
10.06976,3.715361,15.64536
10.04663,3.812643,15.74264
10.02026,3.9091,15.8391
9.990697,4.004625,15.93463
9.957965,4.099112,16.02911
