x,y,z
7.14,4.87,21.72
10.14,4.87,21.72
10.14,4.87,21.72
10.14,4.87,21.72
10.13833,4.969981,21.81998
10.13334,5.069852,21.91985
10.12501,5.1695,22.0195
10.11337,5.268816,22.11881
10.09843,5.367688,22.21769
10.0802,5.466008,22.31601
10.0587,5.563665,22.41366
10.03396,5.660552,22.51055
10.00601,5.75656,22.60656
9.974871,5.851584,22.70158
9.940582,5.945517,22.79552
9.903183,6.038255,22.88825
9.862713,6.129695,22.97969
9.819219,6.219736,23.06973
9.772747,6.308277,23.15828
9.723351,6.39522,23.24522
9.671085,6.480468,23.33047
9.616007,6.563927,23.41393
9.558177,6.645505,23.4955
9.497662,6.725109,23.57511
9.434526,6.802653,23.65265
9.368842,6.878049,23.72805
9.300681,6.951215,23.80121
9.23012,7.022069,23.87207
9.157236,7.09053,23.94053
9.082112,7.156526,24.00653
9.004829,7.219981,24.06998
8.925476,7.280825,24.13083
8.844138,7.33899,24.18899
8.760906,7.394413,24.24441
8.675875,7.447031,24.29703
8.589136,7.496786,24.34678
8.500788,7.543622,24.39362
8.410928,7.587488,24.43749
8.319655,7.628335,24.47833
8.227073,7.666117,24.51612
8.133283,7.700793,24.55079
8.038388,7.732324,24.58232
7.942496,7.760674,24.61067
7.845713,7.785813,24.63581
7.748145,7.807714,24.65771
7.649901,7.826349,24.67635
7.551091,7.841701,24.6917
7.451825,7.85375,24.70375
7.352211,7.862485,24.71248
7.252362,7.867895,24.71789
7.152389,7.869974,24.71997
7.052401,7.868721,24.71872
6.952511,7.864136,24.71413
6.852829,7.856224,24.70622
6.753466,7.844995,24.69499
6.654532,7.83046,24.68046
6.556139,7.812636,24.66264
6.458394,7.791543,24.64154
6.361405,7.767204,24.6172
6.265282,7.739646,24.58965
6.170131,7.7089,24.5589
6.076057,7.675,24.525
5.983165,7.637984,24.48798
5.891559,7.597892,24.44789
5.801339,7.55477,24.40477
5.712607,7.508665,24.35866
5.625461,7.459628,24.30963
5.539998,7.407714,24.25771
5.456312,7.352981,24.20298
5.374496,7.295489,24.14549
5.294642,7.235302,24.0853
5.216838,7.172488,24.02249
5.141171,7.107115,23.95712
5.067725,7.039257,23.88926
4.996581,6.968989,23.81899
4.927818,6.896389,23.74639
4.861514,6.821538,23.67154
4.79774,6.744518,23.59452
4.736568,6.665416,23.51542
4.678068,6.584319,23.43432
4.622302,6.501318,23.35132
4.569334,6.416504,23.2665
4.519221,6.329972,23.17997
4.47202,6.241817,23.09182
4.427783,6.15214,23.00214
4.38656,6.061036,22.91104
4.348395,5.96861,22.81861
4.313333,5.874964,22.72496
4.28141,5.780201,22.6302
4.252664,5.684427,22.53443
4.227125,5.587748,22.43775
4.204823,5.490271,22.34027
4.185781,5.392105,22.2421
4.170022,5.293359,22.14336
4.157563,5.194143,22.04414
4.148417,5.094567,21.94457
4.142594,4.994741,21.84474
4.140102,4.894777,21.74478
4.140943,4.794785,21.64478
4.145115,4.694877,21.54488
4.152616,4.595163,21.44516
4.163435,4.495755,21.34575
4.177561,4.396762,21.24676
4.194978,4.298295,21.14829
4.215667,4.200464,21.05046
4.239605,4.103376,20.95337
4.266766,4.00714,20.85714
4.297119,3.911862,20.76186
4.33063,3.81765,20.66765
4.367262,3.724606,20.57461
4.406976,3.632835,20.48283
4.449725,3.542438,20.39244
4.495463,3.453516,20.30352
4.544139,3.366168,20.21617
4.5957,3.280491,20.13049
4.650087,3.196579,20.04658
4.707241,3.114527,19.96453
4.767097,3.034426,19.88442
4.82959,2.956363,19.80636
4.894649,2.880427,19.73043
4.962203,2.806701,19.6567
5.032177,2.735267,19.58527
5.104493,2.666205,19.5162
5.179069,2.599592,19.44959
5.255826,2.535501,19.3855
5.334674,2.474003,19.324
5.415529,2.415168,19.26517
5.4983,2.35906,19.20906
5.582894,2.305742,19.15574
5.669218,2.255272,19.10527
5.757176,2.207708,19.05771
5.846671,2.163101,19.0131
5.937603,2.121502,18.9715
6.029871,2.082956,18.93295
6.123371,2.047507,18.89751
6.218001,2.015193,18.86519
