x,y,z
5.56,3.31,23.57
8.559999,3.31,23.57
8.559999,3.31,23.57
8.559999,3.31,23.57
8.553336,3.509852,24.16601
8.533373,3.708816,24.73825
8.500199,3.906008,25.26393
8.453964,4.100552,25.72207
8.394871,4.291584,26.09441
8.323183,4.478255,26.36612
8.239219,4.659736,26.52635
8.143352,4.83522,26.56872
8.036007,5.003927,26.49154
7.917662,5.16511,26.29789
7.788842,5.318049,25.99549
7.65012,5.462069,25.59639
7.502112,5.596526,25.1165
7.345476,5.720825,24.57496
7.180907,5.834413,23.99336
7.009137,5.936786,23.39488
6.830928,6.027488,22.80338
6.647073,6.106117,22.24244
6.458388,6.172324,21.73442
6.265713,6.225814,21.29959
6.069901,6.266349,20.95527
5.871825,6.29375,20.71519
5.672362,6.307895,20.58893
5.472401,6.308721,20.58151
5.272829,6.296224,20.69323
5.074533,6.27046,20.91964
4.878394,6.231543,21.25171
4.685282,6.179646,21.6762
4.496058,6.115,22.17619
4.311559,6.037892,22.73175
4.132607,5.948665,23.32073
3.959998,5.847714,23.91965
3.794497,5.735489,24.50463
3.636838,5.612488,25.05234
3.487725,5.479257,25.54096
3.347819,5.33639,25.951
3.21774,5.184518,26.26612
3.098068,5.024319,26.47376
2.989333,4.856503,26.56563
2.89202,4.681818,26.53807
2.80656,4.501036,26.39219
2.733333,4.314964,26.13379
2.672664,4.124427,25.77319
2.624823,3.930271,25.32475
2.590022,3.733359,24.80635
2.568417,3.534567,24.23867
2.560102,3.334777,23.64432
2.565116,3.134877,23.04702
2.583435,2.935755,22.47056
2.614978,2.738296,21.93794
2.659606,2.543376,21.47037
2.717119,2.351862,21.08652
2.787263,2.164606,20.80167
2.869725,1.982438,20.62719
2.964139,1.806169,20.57003
3.070087,1.63658,20.63247
3.187097,1.474426,20.81202
3.314649,1.320427,21.10151
3.452178,1.175267,21.48943
3.599069,1.039593,21.96028
3.754674,0.9140034,22.49531
3.9183,0.79906,23.07319
4.089218,0.6952723,23.67087
4.266671,0.6031012,24.26453
4.449871,0.5229563,24.8305
4.638001,0.4551936,25.34622
4.830229,0.4001143,25.79113
5.0257,0.3579627,26.14749
5.223544,0.3289269,26.40109
5.422882,0.3131351,26.54182
5.622829,0.310658,26.56408
5.822497,0.3215061,26.46697
6.020999,0.3456317,26.25437
6.217453,0.3829272,25.93476
6.410988,0.4332276,25.52086
6.60074,0.4963085,25.02919
6.785869,0.5718899,24.47935
6.965551,0.6596364,23.89326
7.138988,0.7591578,23.29428
7.305411,0.8700121,22.70629
7.464079,0.9917066,22.15273
7.614288,1.123702,21.65568
7.75537,1.26541,21.23494
7.886698,1.416201,20.9073
8.007689,1.575406,20.68581
8.117805,1.742317,20.5793
8.216558,1.916194,20.59202
8.303509,2.096263,20.72347
8.378271,2.281725,20.9684
8.440512,2.471755,21.31704
8.489954,2.665509,21.7555
8.52638,2.862126,22.26631
8.549626,3.060733,22.82908
8.55959,3.260447,23.4214
8.556229,3.460382,24.01963
8.539555,3.659649,24.59995
8.509644,3.857362,25.1392
8.466627,4.052643,25.6159
8.410697,4.244625,26.01102
8.342103,4.432455,26.30884
8.261147,4.615297,26.49746
8.168192,4.79234,26.56938
8.063649,4.962798,26.52172
7.947981,5.125914,26.35638
7.821706,5.280961,26.07996
7.685382,5.427251,25.70348
7.539615,5.564135,25.24194
7.385053,5.691004,24.71375
7.222383,5.807295,24.13996
7.052328,5.912491,23.54345
6.87564,6.006125,22.94799
6.69311,6.08778,22.37733
6.505544,6.157094,21.85422
6.313778,6.213759,21.39951
6.118663,6.257524,21.03134
5.921067,6.288193,20.76437
5.721866,6.30563,20.60925
5.521944,6.309759,20.57217
5.322193,6.30056,20.65461
5.1235,6.278075,20.85326
4.926742,6.242403,21.16024
4.7328,6.193702,21.56327
4.542533,6.132191,22.04632
4.356787,6.058141,22.5901
4.176386,5.971881,23.17295
4.002132,5.873796,23.77163
3.8348,5.76432,24.36227
3.675133,5.643939,24.92133
3.523839,5.51319,25.42651
3.381592,5.372653,25.85768
3.249022,5.222951,26.19764
3.12672,5.064751,26.43286
3.015229,4.898755,26.55393
2.915044,4.7257,26.55605
2.826609,4.546355,26.43913
2.750318,4.361516,26.20782
2.68651,4.172006,25.87135
2.635468,3.978667,25.44313
2.59742,3.782358,24.94023
2.572534,3.58395,24.38271
2.560921,3.384325,23.79279
2.562632,3.184369,23.19399
2.577659,2.984972,22.61017
2.605937,2.787019,22.06463
2.647338,2.591389,21.5791
2.70168,2.398952,21.17293
2.768721,2.210562,20.86233
2.848163,2.027057,20.65968
2.939654,1.849252,20.57306
3.042787,1.677934,20.60591
3.157102,1.51387,20.75693
3.282093,1.357785,21.0201
3.417205,1.210374,21.38492
3.561836,1.072291,21.83686
3.715344,0.94415,22.35789
3.877048,0.8265195,22.92724
4.04623,0.7199228,23.52223
4.222136,0.6248332,24.11911
4.403986,0.5416732,24.6941
4.590972,0.4708123,25.22428
4.782264,0.4125655,25.68851
4.977011,0.3671911,26.06828
5.174347,0.3348912,26.34845
5.373401,0.3158087,26.51785
5.57328,0.3100293,26.56973
5.7731,0.3175781,26.50202
5.971973,0.3384217,26.31743
6.169017,0.3724672,26.02329
6.363354,0.4195637,25.63136
